GCF_020179105.1	SRS9015010
GCF_035581225.1	SRS12504804
GCF_015265495.1	SRS7601333
GCF_033782915.1	SRS19494959
GCF_001544705.1	SRS1116741
GCF_001545015.1	SRS1116747
GCF_002588215.1	SRS2393761
GCF_003287125.1	SRS1958325
GCF_003287145.1	SRS1972396
GCF_003287165.1	SRS1958317
GCF_003287185.1	SRS1958323
GCF_007833935.1	SRS5017434
GCF_008761675.1	SRS14597054
GCF_009664875.1	SRS5709778
GCF_009730215.1	SRS4860426
GCF_009730235.1	SRS4860292
GCF_009762675.2	SRS4040805
GCF_012923765.1	SRS5943577
GCF_013267635.1	SRS5048518
GCF_013267655.1	SRS5046831
GCF_019670745.1	DRS184151
GCF_021414725.1	SRS7499432
GCF_022023995.1	SRS11315936
GCF_022870125.1	SRS7499430
GCF_022870145.1	SRS7499429
GCF_022870165.1	SRS7499428
GCF_022870185.1	SRS7499427
GCF_022870205.1	SRS7499426
GCF_022870225.1	SRS7499425
GCF_022870245.1	SRS7499424
GCF_022870265.1	SRS7499423
GCF_022870285.1	SRS7499438
GCF_022870305.1	SRS7499437
GCF_022870325.1	SRS7499436
GCF_022870345.1	SRS7499435
GCF_022870365.1	SRS7499434
GCF_022870385.1	SRS7499433
GCF_022870405.1	SRS7499431
GCF_022870425.1	SRS7499422
GCF_022870445.1	SRS7499421
GCF_022871085.1	SRS12408871
GCF_022871105.1	SRS12408887
GCF_022871125.1	SRS12409358
GCF_022871145.1	SRS12408913
GCF_026185275.1	SRS13782981
GCF_029867045.1	SRS11315933
GCF_029867065.1	SRS11315934
GCF_029867085.1	SRS11315929
GCF_029867105.1	SRS11315928
GCF_029867125.1	SRS11315940
GCF_029867145.1	SRS11315938
GCF_029867165.1	SRS11315939
GCF_029867185.1	SRS11315931
GCF_029867205.1	SRS11315935
GCF_029867225.1	SRS11315937
GCF_029867245.1	SRS11315932
GCF_029867265.1	SRS11315930
GCF_033124145.1	SRS21101864
GCF_037076265.1	DRS105013
GCF_037076275.1	DRS105014
GCF_037076285.1	DRS356890
GCF_037076295.1	DRS356891
GCF_037076305.1	DRS356892
GCF_037076315.1	DRS356893
GCF_037076325.1	DRS356894
GCF_037076335.1	DRS356896
GCF_037101195.1	DRS356895
GCF_037942495.1	SRS25631191
GCF_037942805.1	SRS25631193
GCF_039555355.1	SRS25631197
GCF_039555365.1	SRS25631192
GCF_039555375.1	SRS25631198
GCF_039906425.1	SRS18990960
GCF_039906595.1	SRS18990961
GCF_039906605.1	SRS18990970
GCF_039906635.1	SRS18990971
GCF_039906665.1	SRS18990973
GCF_039907175.1	SRS18990972
GCF_039907285.1	SRS18990975
GCF_039907295.1	SRS18990974
GCF_039907365.1	SRS18990976
GCF_040062835.1	SRS21343008
GCF_040062845.1	SRS21343005
GCF_040062905.1	SRS21343010
GCF_040062955.1	SRS21343001
GCF_040062985.1	SRS21342988
GCF_040062995.1	SRS21342970
GCF_040063055.1	SRS21342994
GCF_040063075.1	SRS21342997
GCF_040063085.1	SRS21342993
GCF_040063135.1	SRS21342999
GCF_040063145.1	SRS21342998
GCF_040063195.1	SRS21342991
GCF_040063205.1	SRS21342990
GCF_040063215.1	SRS21342995
GCF_040063225.1	SRS21342976
GCF_040063275.1	SRS21342989
GCF_040063295.1	SRS21342974
GCF_040063305.1	SRS21342975
GCF_040063315.1	SRS21342968
GCF_040063395.1	SRS21342959
GCF_040063405.1	SRS21342967
GCF_040063415.1	SRS21342982
GCF_040063425.1	SRS21342972
GCF_040063475.1	SRS21342963
GCF_040063495.1	SRS21343006
GCF_040063545.1	SRS21342984
GCF_040063565.1	SRS21343013
GCF_040063615.1	SRS21342966
GCF_040063645.1	SRS21343015
